Tag;Dienst;Dienstbemerkung;Soll;"Pause 
gebucht";"Min.-
Pause";Arbeits-zeit;"+/- 
tï¿½gl.";Saldo;Kommt;Geht;"Dienst-
gang"
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
  ;  01.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  02.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  03.;URL;;;;;;; 25:37;;
  ;  04.;URL;;;;;;; 25:37;;
  ;  05.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  06.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  07.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  08.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  09.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  10.;URL;;;;;;; 25:37;;
  ;  11.;URL;;;;;;; 25:37;;
  ;  12.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  13.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  14.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  15.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  16.;URL;; 7:48;;; 7:48;; 25:37;;
  ;  17.;URL;;;;;;; 25:37;;
  ;  18.;Frei;;;;;;; 25:37;;
  ;  19.;Frei;; 7:48;;;;-7:48; 17:49;;
  ;  20.;7:48;; 7:48;; 0:30; 7:47;-0:01; 17:48; 05:57; 14:17 a
  ;  21.;7:48;07:30-15:55 08:25 Telearbeit; 7:48;; 0:30; 7:55; 0:07; 17:55;!07:30 T;!15:55 T
  ;  22.;7:48;; 7:48;; 0:30; 8:00; 0:12; 18:07;!10:00;!18:30
"Strom BKP
";;;;;;;;;;;
  ;  23.;7:48;; 7:48;;;;-7:48; 10:19; 16:22;
  ;  24.;Frei;;;;;;; 10:19;;
  ;  25.;Frei;;;;;;; 10:19;;
  ;  26.;7:48;; 7:48;;; 7:48;; 10:19;;
  ;  27.;7:48;; 7:48;;; 7:48;; 10:19;;
  ;  28.;7:48;; 7:48;;; 7:48;; 10:19;;
  ;  29.;7:48;; 7:48;;; 7:48;; 10:19;;
  ;  30.;7:48;; 7:48;;; 7:48;; 10:19;;
  ;  31.;Frei;;;;;;; 10:19;;
Monatssummen:;; 171:36; 156:18;-15:18; 10:19;;;;;;
Unverplanter Anspruch;"Urlaub unverplant bis 31.12.
Urlaub aus 2021 unverplant";"15
15";;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Zeitbuchungsorte;;;;;;;;;;;
a - LIG;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
  ;  01.;7:48;07:30-14:17 06:47 Telearbeit; 7:48;; 0:30; 6:17;-1:31; 19:03;!07:30 T;.14:17 T
"FOBi
";;;;;;;;;;;
  ;  02.;7:48;; 7:48;; 0:30; 7:29;-0:19; 18:44; 08:08 a; 16:07 a
  ;  03.;7:48;; 7:48;; 0:45; 9:39; 1:51; 20:35; 08:14 a; 18:38 a
  ;  04.;Spï¿½t;; 7:48;; 0:30; 7:15;-0:33; 20:02; 16:14 a;*23:59
